hour,nodes,edges,replies,retweets,quotes,interactions,independent,neutral,positive,negative,ntweets,per_neutral,per_positive,per_negative,indeg_pos,indeg_neg,indeg_neu
2016-05-16_04,39866,60743,4,103,1,108,41,36,90,23,149,0.24161073825503357,0.6040268456375839,0.15436241610738255,15879.0,5277.0,4751.0
2016-05-16_05,39986,61021,24,352,7,383,142,146,235,144,525,0.2780952380952381,0.44761904761904764,0.2742857142857143,15985.0,5289.0,4785.0
2016-05-16_06,40307,61702,66,871,27,964,358,402,649,271,1322,0.3040847201210287,0.4909228441754917,0.20499243570347958,16225.0,5343.0,4910.0
2016-05-16_07,40745,62610,132,1081,41,1254,409,546,821,296,1663,0.32832230907997595,0.4936861094407697,0.17799158147925437,16544.0,5396.0,5053.0
2016-05-16_08,41302,63687,110,1239,50,1399,475,648,876,350,1874,0.3457844183564568,0.46744930629669157,0.18676627534685167,16838.0,5443.0,5189.0
2016-05-16_09,41862,64767,128,1179,72,1379,498,699,769,409,1877,0.3724027703782632,0.4096963239211508,0.21790090570058604,17119.0,5493.0,5324.0
2016-05-16_10,42349,65676,131,966,60,1157,482,534,668,437,1639,0.32580841976815134,0.40756558877364246,0.2666259914582062,17393.0,5533.0,5461.0
2016-05-16_11,42896,66648,99,1113,78,1290,486,662,662,452,1776,0.37274774774774777,0.37274774774774777,0.2545045045045045,17706.0,5618.0,5545.0
2016-05-16_12,43336,67585,95,1060,73,1228,429,592,736,329,1657,0.35727217863608934,0.44417622208811103,0.19855159927579963,17981.0,5700.0,5615.0
2016-05-16_13,43760,68397,102,946,58,1106,338,479,673,292,1444,0.3317174515235457,0.4660664819944598,0.20221606648199447,18224.0,5774.0,5693.0
2016-05-16_14,44221,69234,94,957,50,1101,383,640,509,335,1484,0.431266846361186,0.34299191374663074,0.22574123989218328,18384.0,5915.0,5789.0
2016-05-16_15,44718,70218,111,1090,48,1249,426,779,619,277,1675,0.46507462686567164,0.36955223880597016,0.1653731343283582,18578.0,5997.0,5875.0
2016-05-16_16,45152,71168,133,1084,54,1271,433,811,606,287,1704,0.47593896713615025,0.35563380281690143,0.16842723004694835,18826.0,6068.0,5969.0
2016-05-16_17,45596,72127,138,1054,45,1237,458,737,673,285,1695,0.43480825958702063,0.39705014749262535,0.168141592920354,19027.0,6172.0,6054.0
2016-05-16_18,46002,73045,130,952,50,1132,366,682,560,256,1498,0.4552736982643525,0.37383177570093457,0.17089452603471295,19152.0,6326.0,6117.0
2016-05-16_19,46399,73975,129,1084,59,1272,328,644,735,221,1600,0.4025,0.459375,0.138125,19408.0,6410.0,6163.0
2016-05-16_20,46770,74876,120,1054,53,1227,257,581,664,239,1484,0.3915094339622642,0.4474393530997305,0.1610512129380054,19652.0,6463.0,6233.0
